female,moth_birthyr,fath_birthyr,married,age,employed,degree,asset_inc,labor_inc,total_wealth,total_income
0,1961.0,1966.0,0,27.0,1,0,0,14400,0,14400
0,1981.0,,0,17.0,7,0,0,600,0,600
1,1977.0,1973.0,0,18.0,1,0,0,23996,0,23996
1,1972.0,1970.0,0,20.0,7,0,0,3000,0,3000
1,1978.0,1972.0,0,17.0,1,0,0,3600,0,3600
0,1978.0,1972.0,0,16.0,1,0,0,950,0,950
0,1968.0,1967.0,0,27.0,1,0,0,40000,0,40000
0,1968.0,1967.0,0,25.0,1,0,0,45000,0,45000
1,1981.0,1981.0,0,19.0,7,0,0,3000,0,3000
0,1981.0,1982.0,0,17.0,1,0,0,10798,0,10798
0,,,1,48.0,1,0,0,103000,0,103000
1,,1982.0,0,17.0,1,0,0,4550,0,4550
0,1972.0,1972.0,0,12.0,0,0,0,200000,0,200000
0,1971.0,1971.0,0,19.0,1,0,0,15000,0,15000
1,1971.0,1971.0,0,19.0,1,0,0,4464,0,4464
1,1979.0,1977.0,0,17.0,7,0,0,3100,0,3100
1,1954.0,,0,46.0,1,2,0,50000,0,50000
1,1985.0,1973.0,0,15.0,0,0,0,1500,0,1500
0,1958.0,,0,20.0,3,0,0,6825,0,6825
0,1959.0,,1,34.0,1,0,0,50000,0,50000
1,,,1,33.0,1,0,0,50000,0,50000
1,,,0,50.0,1,0,0,90000,0,90000
0,,,0,54.0,1,0,0,85000,0,85000
0,1985.0,1984.0,0,20.0,1,0,0,14400,0,14400
1,1951.0,1948.0,1,45.0,1,2,0,14400,0,14400
0,,,0,23.0,3,0,0,2000,0,2000
0,1960.0,1952.0,0,24.0,1,0,0,18000,0,18000
1,1976.0,1976.0,0,18.0,7,0,0,8000,0,8000
0,,,0,19.0,7,0,0,6000,0,6000
1,,,0,17.0,7,0,0,9000,0,9000
0,1975.0,1973.0,0,15.0,0,0,0,1000,0,1000
0,,,0,22.0,7,0,0,6545,0,6545
0,1966.0,1965.0,0,35.0,1,1,0,45000,0,45000
0,1982.0,1978.0,0,21.0,1,0,0,62400,0,62400
0,1985.0,1985.0,0,19.0,1,0,0,35100,0,35100
0,,,0,26.0,1,0,0,40000,0,40000
0,1973.0,1970.0,0,24.0,1,0,0,14400,0,14400
1,,,0,30.0,1,0,0,8814,0,8814
0,1972.0,1967.0,0,19.0,1,0,0,7450,0,7450
0,1976.0,1976.0,0,16.0,1,0,0,534,0,534
0,1974.0,1964.0,0,14.0,0,0,0,14400,0,14400
1,1967.0,1964.0,0,18.0,1,0,0,8275,0,8275
1,1978.0,1974.0,0,17.0,7,0,0,0,3412,3412
1,1978.0,1974.0,0,13.0,0,0,0,0,1535,1535
0,1974.0,1974.0,0,23.0,1,4,0,14400,0,14400
1,1974.0,1974.0,0,20.0,7,0,0,14400,0,14400
1,1974.0,1974.0,0,18.0,7,0,0,14400,0,14400
1,,,0,16.0,7,0,0,567,0,567
0,1969.0,1966.0,0,20.0,1,0,0,40000,0,40000
1,1969.0,1966.0,0,18.0,7,0,0,5408,0,5408
0,1969.0,1966.0,0,16.0,7,0,0,8970,0,8970
0,,,1,67.0,1,0,0,14400,0,14400
1,1977.0,,0,21.0,1,0,0,35000,0,35000
0,1979.0,1979.0,0,19.0,1,0,0,14400,0,14400
